,Titles,NER
169,women boho vintage patchwork ethnic embroidered clutch bag handmade purse wallet,"(0, 5, 'Department'),(6, 10, 'Style'),(11, 18, 'No Tag'),(19, 28, 'Pattern'),(29, 35, 'Style'),(36, 47, 'Accents'),(48, 58, 'Type'),(59, 67, 'No Tag'),(68, 73, 'Type'),(74, 80, 'Type')"
179,louis vuitton keepall 45 travel hand bag monogram leather brown m41428 68ac743,"(0, 13, 'Brand'),(14, 21, 'Product Line'),(22, 24, 'Model'),(25, 31, 'Occasion'),(32, 40, 'Type'),(41, 49, 'Pattern'),(50, 57, 'Material'),(58, 63, 'Color'),(64, 70, 'MPN'),(71, 78, 'No Tag')"
189,louis vuitton duomo hobo in damier ebene w / extra shoulder strap-100 % authentic,"(0, 13, 'Brand'),(14, 19, 'Model'),(20, 24, 'Type'),(25, 27, 'No Tag'),(28, 34, 'Product Line'),(35, 40, 'Color'),(41, 42, 'No Tag'),(43, 44, 'No Tag'),(45, 50, 'No Tag'),(51, 59, 'Type'),(60, 69, 'No Tag'),(70, 71, 'No Tag'),(72, 81, 'No Tag')"
202,authentic burberry vintage leather hand bag black d4382,"(0, 9, 'No Tag'),(10, 18, 'Brand'),(19, 26, 'No Tag'),(27, 34, 'Material'),(35, 43, 'Type'),(44, 49, 'Color'),(50, 55, 'No Tag')"
209,authentic new louis vuitton pochette monogram kirigami small wallet pouch,"(0, 9, 'No Tag'),(10, 13, 'No Tag'),(14, 27, 'Brand'),(28, 36, 'Product Line'),(37, 45, 'Pattern'),(46, 54, 'Product Line'),(55, 60, 'Size'),(61, 67, 'Type'),(68, 73, 'Type')"
218,very rare & limited edition auth christian dior lady tweed large handbag used 2x,"(0, 4, 'No Tag'),(5, 9, 'No Tag'),(10, 11, 'No Tag'),(12, 19, 'No Tag'),(20, 27, 'No Tag'),(28, 32, 'No Tag'),(33, 47, 'Brand'),(48, 52, 'Department'),(53, 58, 'Fabric Type'),(59, 64, 'Size'),(65, 72, 'Type'),(73, 77, 'No Tag'),(78, 80, 'No Tag')"
231,gucci in italy brown tote bag ladies brand geniue good condition used,"(0, 5, 'Brand'),(6, 8, 'No Tag'),(9, 14, 'Country/Region of Manufacture'),(15, 20, 'Color'),(21, 25, 'Type'),(26, 29, 'Type'),(30, 36, 'Department'),(37, 42, 'No Tag'),(43, 49, 'No Tag'),(50, 54, 'No Tag'),(55, 64, 'No Tag'),(65, 69, 'No Tag')"
243,stickman leather purse bag cross body euc,"(0, 8, 'Brand'),(9, 16, 'Material'),(17, 22, 'Type'),(23, 26, 'Type'),(27, 37, 'Type'),(38, 41, 'No Tag')"
249,gold lame purse vintage evening bag gold link fold-in handle,"(0, 4, 'Color'),(5, 9, 'Color'),(10, 15, 'Type'),(16, 23, 'No Tag'),(24, 31, 'Occasion'),(32, 35, 'Type'),(0, 4, 'Color'),(41, 45, 'No Tag'),(46, 53, 'Handle Style'),(54, 60, 'No Tag')"
259,new big shoulder cotton hand large capacity diagonal travel shopping women 's bag,"(0, 3, 'No Tag'),(4, 7, 'Size'),(8, 16, 'Type'),(17, 23, 'Material'),(24, 28, 'Type'),(29, 34, 'Size'),(35, 43, 'No Tag'),(44, 52, 'No Tag'),(53, 59, 'Occasion'),(60, 68, 'Type'),(69, 77, 'Department'),(78, 81, 'Type')"
271,louis vuitton monogram neo noe rose w / mirror charm ballerine pink crossbody,"(0, 13, 'Brand'),(14, 22, 'Pattern'),(23, 30, 'Model'),(31, 35, 'Pattern'),(36, 37, 'No Tag'),(38, 39, 'No Tag'),(40, 46, 'Features'),(47, 52, 'Accents'),(53, 62, 'Color'),(63, 67, 'Color'),(68, 77, 'Type')"
282,gucci brown leather guccissima trim signoria medium sukey tote bag,"(0, 5, 'Brand'),(6, 11, 'Color'),(12, 19, 'Material'),(20, 30, 'Product Line'),(31, 35, 'No Tag'),(36, 44, 'Model'),(45, 51, 'Size'),(52, 57, 'Product Line'),(58, 62, 'Type'),(63, 66, 'Type')"
292,prada new-vela 1bc167 nylon studded crossbody bag black green,"(0, 5, 'Brand'),(6, 14, 'No Tag'),(15, 21, 'No Tag'),(22, 27, 'Material'),(28, 35, 'Accents'),(36, 45, 'Type'),(46, 49, 'Type'),(50, 55, 'Color'),(56, 61, 'Color')"
301,chanel quilted cc single chain mini shoulder bag 1636342 black lambskin 60849,"(0, 6, 'Brand'),(7, 14, 'Features'),(15, 17, 'Brand'),(18, 24, 'Handle Style'),(25, 30, 'Handle/Strap Material'),(31, 35, 'Size'),(36, 44, 'Type'),(45, 48, 'Type'),(49, 56, 'No Tag'),(57, 62, 'Color'),(63, 71, 'Material'),(72, 77, 'No Tag')"
313,kate spade joeley glitter penny large top zip tote handbag wkru6278 dusknavy,"(0, 10, 'Brand'),(11, 17, 'Model'),(18, 25, 'Accents'),(26, 31, 'No Tag'),(32, 37, 'Size'),(38, 45, 'Closure'),(46, 50, 'Type'),(51, 58, 'Type'),(59, 67, 'MPN'),(68, 76, 'No Tag')"
323,travelon anti-theft concealed carry hobo bag black,"(0, 8, 'Brand'),(9, 19, 'Features'),(20, 35, 'Pocket Type'),(36, 40, 'Type'),(41, 44, 'Type'),(45, 50, 'Color')"
329,authentic louis vuitton wild animal leopard felicie inserts only,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 35, 'Pattern'),(36, 43, 'Pattern'),(44, 51, 'Model'),(52, 59, 'Obscure'),(60, 64, 'Obscure')"
336,women round bag shoulder 2022 designer fashion leather crossbody messenger bags,"(0, 5, 'Department'),(6, 11, 'Style'),(12, 15, 'Type'),(16, 24, 'Type'),(25, 29, 'No Tag'),(30, 38, 'No Tag'),(39, 46, 'No Tag'),(47, 54, 'Material'),(55, 64, 'Type'),(65, 74, 'Type'),(75, 79, 'Type')"
347,"new michael kors newman black python embossed leather lg hobo , shoulder , hand bag","(0, 3, 'No Tag'),(4, 16, 'Brand'),(17, 23, 'Model'),(24, 29, 'Color'),(30, 36, 'Pattern'),(37, 45, 'Accents'),(46, 53, 'Material'),(54, 56, 'Size'),(57, 61, 'Type'),(62, 63, 'No Tag'),(64, 72, 'Type'),(62, 63, 'No Tag'),(75, 83, 'Type')"
360,women small messenger cross body zip shoulder strap bag handbag - geom colorway,"(0, 5, 'Department'),(6, 11, 'Size'),(12, 21, 'Type'),(22, 32, 'Type'),(33, 36, 'Closure'),(37, 45, 'Type'),(46, 51, 'Handle/Strap Material'),(52, 55, 'Type'),(56, 63, 'Type'),(64, 65, 'No Tag'),(66, 70, 'Pattern'),(71, 79, 'Color')"
372,hot ! * gucci gg marmont bambi small velvet embroidered shoulder bag crossbody nwt,"(0, 3, 'No Tag'),(4, 5, 'No Tag'),(6, 7, 'No Tag'),(8, 13, 'Brand'),(14, 24, 'Product Line'),(25, 30, 'Model'),(31, 36, 'Size'),(37, 43, 'Material'),(44, 55, 'Accents'),(56, 64, 'Type'),(65, 68, 'Type'),(69, 78, 'Type'),(79, 82, 'No Tag')"
385,auth christian dior 3 ways shoulder crossbody hand bag red leather emboss,"(0, 4, 'No Tag'),(5, 19, 'Brand'),(20, 26, 'Features'),(27, 35, 'Type'),(36, 45, 'Type'),(46, 54, 'Type'),(55, 58, 'Color'),(59, 66, 'Material'),(67, 73, 'Accents')"
394,anthropologie miss albright embroidered zippered clutch w / tassel nwot purple,"(0, 13, 'Brand'),(14, 27, 'Model'),(28, 39, 'Accents'),(40, 48, 'Closure'),(49, 55, 'Type'),(56, 57, 'No Tag'),(58, 59, 'No Tag'),(60, 66, 'Accents'),(67, 71, 'No Tag'),(72, 78, 'Color')"
404,euc $ 1495 tiffany & co. foldover envelope bag day clutch crocodile leather black,"(0, 3, 'No Tag'),(4, 5, 'No Tag'),(6, 10, 'No Tag'),(11, 24, 'Brand'),(25, 33, 'Features'),(34, 42, 'Type'),(43, 46, 'Type'),(47, 50, 'Occasion'),(51, 57, 'Type'),(58, 67, 'Pattern'),(68, 75, 'Material'),(76, 81, 'Color')"
416,authentic louis vuitton monogram pochette gange cross body bag m51870 lv exc + +,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 32, 'Pattern'),(33, 41, 'Product Line'),(42, 47, 'Model'),(48, 58, 'Type'),(59, 62, 'Type'),(63, 69, 'MPN'),(70, 72, 'Brand'),(73, 76, 'No Tag'),(77, 78, 'No Tag'),(77, 78, 'No Tag')"
428,"louis vuitton giant monogram neverfull mm khaki green beige limited edition , box","(0, 13, 'Brand'),(14, 19, 'Size'),(20, 28, 'Pattern'),(29, 41, 'Model'),(42, 47, 'Color'),(48, 53, 'Color'),(54, 59, 'Color'),(60, 67, 'No Tag'),(68, 75, 'No Tag'),(76, 77, 'No Tag'),(78, 81, 'No Tag')"
439,fendi mon tresor mini shearling & leather bucket bag women 's ns,"(0, 5, 'Brand'),(6, 16, 'Model'),(17, 21, 'Size'),(22, 31, 'Material'),(32, 33, 'No Tag'),(34, 41, 'Material'),(42, 48, 'Type'),(49, 52, 'Type'),(53, 61, 'Department'),(62, 64, 'No Tag')"
449,chanel matelasse chain flap shoulder bag lamb skin black gold cc auth 26595,"(0, 6, 'Brand'),(7, 16, 'Pattern'),(17, 22, 'Handle/Strap Material'),(23, 27, 'Type'),(28, 36, 'Type'),(37, 40, 'Type'),(41, 50, 'Material'),(51, 56, 'Color'),(57, 61, 'Color'),(62, 64, 'Brand'),(65, 69, 'No Tag'),(70, 75, 'No Tag')"
461,authentic timmy woods asian duck amazing hand carved minaudiere purse bag clutch,"(0, 9, 'No Tag'),(10, 21, 'Brand'),(22, 32, 'Theme'),(33, 40, 'No Tag'),(41, 45, 'Type'),(46, 52, 'Accents'),(53, 63, 'Style'),(64, 69, 'Type'),(70, 80, 'Type')"
470,louis vuitton red epi speedy limited edition,"(0, 13, 'Brand'),(14, 17, 'Color'),(18, 21, 'Material'),(22, 28, 'Model'),(29, 36, 'No Tag'),(37, 44, 'No Tag')"
476,authentic louis vuitton limited edition epi noe marin navy leather bag,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 31, 'No Tag'),(32, 39, 'No Tag'),(40, 43, 'Material'),(44, 53, 'Model'),(54, 58, 'Color'),(59, 66, 'Material'),(67, 70, 'Type')"
485,louis vuitton my lv world tour monogram speedy bandouliere 30,"(0, 13, 'Brand'),(14, 19, 'Product Line'),(20, 30, 'Model'),(31, 39, 'Pattern'),(40, 46, 'Model'),(47, 58, 'Type'),(59, 61, 'Model')"
492,us dollar clutch purses rhinestones handbags women crystal evening bags designer,"(0, 9, 'Theme'),(10, 16, 'Type'),(17, 23, 'Type'),(24, 35, 'Accents'),(36, 44, 'Type'),(45, 50, 'Department'),(51, 58, 'Accents'),(59, 66, 'Occasion'),(40, 44, 'Type'),(72, 80, 'No Tag')"
502,chanel double flap 25 quilted cc logo lambskin w / chain shoulder bag black / n0219,"(0, 6, 'Brand'),(7, 18, 'Type'),(19, 21, 'Model'),(22, 29, 'Features'),(30, 37, 'Accents'),(38, 46, 'Material'),(47, 48, 'No Tag'),(49, 50, 'No Tag'),(51, 56, 'Handle/Strap Material'),(57, 65, 'Type'),(66, 69, 'Type'),(70, 75, 'Color'),(49, 50, 'No Tag'),(78, 83, 'No Tag')"
516,louis vuitton damier ebene brand new tags 100 % authentic pochette,"(0, 13, 'Brand'),(14, 20, 'Product Line'),(21, 26, 'Color'),(27, 32, 'No Tag'),(33, 36, 'No Tag'),(37, 41, 'No Tag'),(42, 45, 'No Tag'),(46, 47, 'No Tag'),(48, 57, 'No Tag'),(58, 66, 'Product Line')"
526,auth louis vuitton reade pm m91335 indigo monogram vernis mi1014 womens handbag,"(0, 4, 'No Tag'),(5, 18, 'Brand'),(19, 27, 'Model'),(28, 34, 'MPN'),(35, 41, 'Color'),(42, 50, 'Pattern'),(51, 57, 'Product Line'),(58, 64, 'No Tag'),(65, 71, 'Department'),(72, 79, 'Type')"
536,new nwt small black velvet evening bag purse pocketbook clutch,"(0, 3, 'No Tag'),(4, 7, 'No Tag'),(8, 13, 'Size'),(14, 19, 'Color'),(20, 26, 'Material'),(27, 34, 'Occasion'),(35, 38, 'Type'),(39, 44, 'Type'),(45, 55, 'Type'),(56, 62, 'Type')"
546,authentic louis vuitton speedy 40 handbag w / inside organizer & luggage tag,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 33, 'Model'),(34, 41, 'Type'),(42, 43, 'No Tag'),(44, 45, 'No Tag'),(46, 52, 'No Tag'),(53, 62, 'No Tag'),(63, 64, 'No Tag'),(65, 72, 'Type'),(73, 76, 'No Tag')"
557,loungefly disney beauty and the beast rose mini backpack & wallet nwt,"(0, 16, 'Brand'),(17, 37, 'Character Family'),(38, 42, 'Color'),(43, 47, 'Size'),(48, 56, 'Type'),(57, 58, 'No Tag'),(59, 65, 'Type'),(66, 69, 'No Tag')"
565,chanel wallet on chain ( woc ) in black caviar leather - gold chain and hardware,"(0, 6, 'Brand'),(7, 22, 'Type'),(23, 24, 'No Tag'),(25, 28, 'Type'),(29, 30, 'No Tag'),(20, 22, 'No Tag'),(34, 39, 'Color'),(40, 46, 'Product Line'),(47, 54, 'Material'),(55, 56, 'No Tag'),(57, 61, 'Color'),(17, 22, 'Handle/Strap Material'),(68, 71, 'No Tag'),(72, 80, 'No Tag')"
579,raviani lot of 6 coin bags with brindle leather,"(0, 7, 'Brand'),(8, 11, 'Obscure'),(12, 14, 'Obscure'),(15, 16, 'Obscure'),(17, 21, 'Obscure'),(22, 26, 'Type'),(27, 31, 'Obscure'),(32, 39, 'Obscure'),(40, 47, 'Material')"
588,chanel 21p iridescent white woc 19 flap bag wallet on chain clutch mini 17b rose,"(0, 6, 'Brand'),(7, 10, 'Model'),(11, 21, 'Accents'),(22, 27, 'Color'),(28, 31, 'Type'),(32, 34, 'No Tag'),(35, 39, 'Type'),(40, 43, 'Type'),(44, 66, 'Type'),(67, 71, 'Size'),(72, 75, 'No Tag'),(76, 80, 'Color')"
600,loungefly disney beauty and the beast rose crossbody faux leather bag,"(0, 16, 'Brand'),(17, 37, 'Character Family'),(38, 42, 'Color'),(43, 52, 'Type'),(53, 65, 'Material'),(66, 69, 'Type')"
606,authentic goyard bag mm # 270-003-566-0344,"(0, 9, 'No Tag'),(10, 16, 'Brand'),(17, 20, 'Type'),(21, 23, 'Model'),(24, 25, 'No Tag'),(26, 42, 'No Tag')"
612,louis vuitton tressage tote monogram handbag ss 2017 two way reverse m44113,"(0, 13, 'Brand'),(14, 22, 'Model'),(23, 27, 'Type'),(28, 36, 'Pattern'),(37, 44, 'Type'),(17, 19, 'No Tag'),(48, 52, 'No Tag'),(53, 68, 'Features'),(69, 75, 'MPN')"
621,balenciaga mini neo classic city croc embossed leather top handle bag,"(0, 10, 'Brand'),(11, 15, 'Size'),(16, 19, 'Model'),(20, 27, 'Model'),(28, 32, 'Product Line'),(33, 37, 'Pattern'),(38, 46, 'Accents'),(47, 54, 'Material'),(55, 65, 'Handle Style'),(66, 69, 'Type')"
631,louis vuitton monogram shoulder bag 3 pieces set 527800,"(0, 13, 'Brand'),(14, 22, 'Pattern'),(23, 31, 'Type'),(32, 35, 'Type'),(36, 37, 'No Tag'),(38, 44, 'No Tag'),(45, 48, 'No Tag'),(49, 55, 'No Tag')"
639,fila crossbody / mini bag,"(0, 4, 'Brand'),(5, 14, 'Type'),(15, 16, 'No Tag'),(17, 21, 'Size'),(22, 25, 'Type')"
644,laurel burch aquatic horses blue purple beige canvas cosmetic zipper bag nwt,"(0, 27, 'Pattern'),(28, 32, 'Color'),(33, 39, 'Color'),(40, 45, 'Color'),(46, 52, 'Fabric Type'),(53, 61, 'Type'),(62, 68, 'Closure'),(69, 72, 'Type'),(73, 76, 'No Tag')"
653,brand new chanel jersey fabric quilted foldable tote with chain black multicolor,"(0, 5, 'No Tag'),(6, 9, 'No Tag'),(10, 16, 'Brand'),(17, 23, 'Model'),(24, 30, 'Material'),(31, 38, 'Accents'),(39, 47, 'Features'),(48, 52, 'Type'),(53, 57, 'No Tag'),(58, 63, 'Handle/Strap Material'),(64, 69, 'Color'),(70, 80, 'Color')"
665,old trend sprout land vintage retro burgundy distress leather tote bag,"(0, 3, 'Brand'),(4, 9, 'No Tag'),(10, 21, 'Model'),(22, 29, 'No Tag'),(30, 35, 'Style'),(36, 44, 'Color'),(45, 53, 'Features'),(54, 61, 'Material'),(62, 66, 'Type'),(67, 70, 'Type')"
675,auth louis vuitton amfar three vanity star shoulder bag monogram m47275 13bs102,"(0, 4, 'No Tag'),(5, 18, 'Brand'),(19, 30, 'Model'),(31, 37, 'Style'),(38, 42, 'No Tag'),(43, 51, 'Type'),(52, 55, 'Type'),(56, 64, 'Pattern'),(65, 71, 'MPN'),(72, 79, 'No Tag')"
685,nwt brahmin marianna leather tote / shoulder bag in pearl summer dalton,"(0, 3, 'No Tag'),(4, 11, 'Brand'),(12, 20, 'Model'),(21, 28, 'Material'),(29, 33, 'Type'),(34, 35, 'No Tag'),(36, 44, 'Type'),(45, 48, 'Type'),(9, 11, 'No Tag'),(52, 57, 'Color'),(58, 64, 'Color'),(65, 71, 'Color')"
697,brighton britta tivoli trellis 3d floral beaded crossbody shoulder handbag $ 310,"(0, 8, 'Brand'),(9, 30, 'Model'),(31, 33, 'Accents'),(34, 40, 'Pattern'),(41, 47, 'Accents'),(48, 66, 'Type'),(67, 74, 'Type'),(75, 76, 'No Tag'),(77, 80, 'No Tag')"
706,louis vuitton saint cloud gm shoulder bag purse m51242 th0994 70422,"(0, 13, 'Brand'),(14, 28, 'Model'),(29, 37, 'Type'),(38, 41, 'Type'),(42, 47, 'Type'),(48, 61, 'MPN'),(62, 67, 'No Tag')"
713,women luxury jelly bag polishing leather shoulder handbag crossbody tote shell,"(0, 5, 'Department'),(6, 12, 'Theme'),(13, 18, 'Material'),(19, 22, 'Type'),(23, 32, 'Fabric Type'),(33, 40, 'Material'),(41, 49, 'Type'),(50, 57, 'Type'),(58, 67, 'Type'),(68, 72, 'Type'),(73, 78, 'Color')"
724,vera bradley small trimmed vera shoulder bag / tote in paisley amethyst . nwt,"(0, 12, 'Brand'),(13, 18, 'Size'),(19, 26, 'Features'),(0, 4, 'Brand'),(32, 40, 'Type'),(41, 44, 'Type'),(45, 46, 'No Tag'),(47, 51, 'Type'),(52, 54, 'No Tag'),(55, 62, 'Pattern'),(63, 71, 'Color'),(72, 73, 'No Tag'),(74, 77, 'No Tag')"
737,"qe2 vintage canvas tote bag . new , never used . size top to bottom 18 "" w12 ""","(0, 3, 'Model'),(4, 11, 'No Tag'),(12, 18, 'Fabric Type'),(19, 23, 'Type'),(24, 27, 'Type'),(28, 29, 'No Tag'),(30, 33, 'No Tag'),(34, 35, 'No Tag'),(36, 41, 'No Tag'),(42, 46, 'No Tag'),(28, 29, 'No Tag'),(49, 53, 'No Tag'),(54, 57, 'No Tag'),(19, 21, 'No Tag'),(61, 67, 'No Tag'),(68, 82, 'Measurement, dimension')"
753,"urban expressions women 's clutch shoulder bag in pink 11.25 "" x6 ""","(18, 26, 'Department'),(27, 33, 'Type'),(34, 42, 'Type'),(43, 46, 'Type'),(47, 49, 'No Tag'),(50, 54, 'Color'),(55, 60, 'Measurement, dimension')"
760,"fossil women 's "" sydney "" fringe crossbody bag style # : zb6707661","(7, 15, 'Department'),(34, 43, 'Type'),(44, 47, 'Type'),(48, 53, 'No Tag'),(54, 55, 'No Tag'),(56, 57, 'No Tag'),(58, 67, 'MPN')"
767,"valentino shoulder bag , small","(0, 9, 'Brand'),(10, 18, 'Type'),(19, 22, 'Type'),(23, 24, 'No Tag'),(25, 30, 'Size')"
772,gucci logo bamboo hand tote bag leather brown gold-plated made in italy 01mq835,"(0, 5, 'Brand'),(6, 10, 'Accents'),(11, 17, 'Product Line'),(18, 22, 'Type'),(23, 27, 'Type'),(28, 31, 'Type'),(32, 39, 'Material'),(40, 45, 'Color'),(46, 57, 'Hardware Material'),(58, 62, 'No Tag'),(63, 65, 'No Tag'),(66, 71, 'Country/Region of Manufacture'),(72, 79, 'MPN')"
785,new carolina herrera andy 7 handbag 100 % authentic ** free shipping **,"(0, 3, 'No Tag'),(4, 20, 'Brand'),(21, 27, 'Model'),(28, 35, 'Type'),(36, 39, 'No Tag'),(40, 41, 'No Tag'),(42, 51, 'No Tag'),(0, 2, 'No Tag'),(55, 59, 'No Tag'),(60, 68, 'No Tag'),(0, 2, 'No Tag')"
796,used louis vuitton t120529 shoulder bag saint cloud gm m51242,"(0, 4, 'No Tag'),(5, 18, 'Brand'),(19, 26, 'No Tag'),(27, 35, 'Type'),(36, 39, 'Type'),(40, 54, 'Model'),(55, 61, 'MPN')"
803,auth louis vuitton papillon 26 hand bag monogram leather brown m51366 37bt472,"(0, 4, 'No Tag'),(5, 18, 'Brand'),(19, 30, 'Model'),(31, 39, 'Type'),(40, 48, 'Pattern'),(49, 56, 'Material'),(57, 62, 'Color'),(63, 77, 'MPN')"
811,premium solid color pu leather turnlock flap clutch bag handbag - diff colors,"(0, 7, 'No Tag'),(8, 13, 'No Tag'),(14, 19, 'No Tag'),(20, 30, 'Material'),(31, 39, 'Closure'),(40, 44, 'Type'),(45, 55, 'Type'),(56, 63, 'Type'),(64, 65, 'No Tag'),(66, 70, 'No Tag'),(71, 77, 'No Tag')"
822,louis vuitton city steamer gris black handbag mm,"(0, 13, 'Brand'),(14, 26, 'Model'),(27, 31, 'Color'),(32, 37, 'Color'),(38, 45, 'Type'),(46, 48, 'Model')"
828,new vera bradley lunch bunch lunch bag in plum crazy,"(0, 3, 'No Tag'),(4, 16, 'Brand'),(17, 28, 'Model'),(17, 22, 'Type'),(35, 38, 'Type'),(39, 41, 'No Tag'),(42, 46, 'Color'),(47, 52, 'Color')"
836,authentic prada nylon backpack black 0340a,"(0, 9, 'No Tag'),(10, 15, 'Brand'),(16, 21, 'Material'),(22, 30, 'Type'),(31, 36, 'Color'),(37, 42, 'MPN')"
